shipment_id,date,region,transport_mode,shipment_volume,distance_km,weather_risk,carrier_load_pct,fuel_price_index,delivery_time_days,transportation_cost,delay_days,on_time
S0001,2025-01-22,West,Road,326,1834,Low,76.4,96.8,7.46,1578.11,1.79,0
S0002,2025-03-18,South,Road,118,742,Low,63.2,101.4,4.88,758.42,0.00,1
S0003,2025-02-09,North,Rail,487,1221,Medium,91.7,105.1,8.13,2076.39,1.86,0
S0004,2025-06-14,East,Air,207,2190,Low,69.5,98.6,5.04,1926.44,0.00,1
S0005,2025-04-27,South,Sea,421,512,High,88.1,107.3,11.32,1638.26,4.94,0
S0006,2025-07-03,West,Road,94,336,Low,58.6,99.1,3.73,568.35,0.00,1
S0007,2025-05-11,North,Rail,355,1748,Low,84.8,102.2,7.51,1514.28,1.54,0
S0008,2025-03-29,East,Air,142,1088,Medium,72.4,104.6,4.74,1364.27,0.00,1
S0009,2025-01-08,South,Sea,516,1964,Low,95.2,94.7,11.03,2430.81,4.45,0
S0010,2025-08-19,West,Road,268,915,High,79.3,109.8,7.68,1138.21,1.92,0
